GeneID	basemean-S_0d	basemean-S_3d
CL9410.Contig1_All	555.3141848	0.711442341
CL12922.Contig1_All	283.7689132	0.851832147
CL11574.Contig1_All	238.1397731	1.629133513
Unigene15210_All	3400.053002	74.35551633
Unigene947_All	204.8683804	1.697825109
Unigene11787_All	195.0479588	4.005346834
Unigene1094_All	150.4777043	1.838868806
CL2244.Contig4_All	753.0946087	23.69194396
CL9410.Contig2_All	112.418105	0.236494889
CL2743.Contig1_All	161.5890935	3.535530102
CL2244.Contig1_All	947.2744131	33.19211104
Unigene16230_All	176.0274822	4.428303694
Unigene23790_All	97.20798992	0.132579537
CL2743.Contig2_All	171.7917776	4.556278817
CL262.Contig1_All	130.6895438	2.8476831
Unigene23891_All	97.26024054	0.439299302
Unigene14518_All	148.0824359	3.967800017
CL2279.Contig5_All	207.4038744	7.530396509
CL4324.Contig6_All	236.098228	9.27236479
CL2143.Contig1_All	103.0706287	2.533271112
CL9938.Contig1_All	87.08398179	1.734085504
Unigene11458_All	204.113212	8.244619058
CL6521.Contig3_All	65.56645535	0.421217271
CL7924.Contig2_All	80.20947194	1.890633193
Unigene16659_All	71.01648809	1.180443642
CL11568.Contig2_All	62.28902236	0.659848289
CL155.Contig3_All	177.7157711	8.149500259
CL2279.Contig2_All	147.7273776	6.944485642
CL11568.Contig1_All	57.05098933	0.786947112
CL6521.Contig1_All	53.50477567	0.306048531
CL2279.Contig1_All	126.6516574	5.931808037
CL11574.Contig2_All	51.53032192	0.199929942
CL155.Contig4_All	94.16279359	3.868193217
CL6521.Contig2_All	53.07517555	0.672643754
CL7924.Contig1_All	51.23458397	0.430883495
Unigene6906_All	49.80059014	0.230180799
CL2244.Contig2_All	111.5882764	5.344925532
Unigene14517_All	91.94708661	4.211617539
Unigene13769_All	56.18921633	1.559747892
Unigene13294_All	145.5714413	7.823785492
CL155.Contig5_All	102.4494793	4.935630758
CL9549.Contig1_All	46.46278234	0.461668117
CL8495.Contig1_All	52.44828005	1.26509594
CL2279.Contig9_All	224.4544441	13.06645878
Unigene4974_All	89.34844491	4.34751079
Unigene15507_All	42.79557435	0.367408531
CL9974.Contig3_All	84.31688303	4.233964426
Unigene14285_All	41.60384117	0.458554912
CL1497.Contig3_All	45.15004909	1.064285014
Unigene16758_All	73.92374011	3.496439523
Unigene16177_All	86.04643021	4.574146164
CL4324.Contig4_All	107.717233	6.372325759
CL7362.Contig1_All	36.52664889	0.059096829
Unigene8056_All	191.9422554	12.33881985
CL4324.Contig2_All	105.7185401	6.506958702
Unigene16176_All	38.66788067	0.801058615
Unigene15172_All	75.55412886	4.203633108
Unigene623_All	60.93052695	2.972191768
CL9974.Contig1_All	161.1517389	10.49939232
CL1395.Contig3_All	72.3429014	3.922160017
Unigene13867_All	35.81318231	0.494430811
CL2279.Contig7_All	85.38551381	5.061614046
Unigene16658_All	34.39833413	0.392689469
Unigene6280_All	32.79699177	0.138281102
Unigene2631_All	631.2785785	45.18372784
CL9282.Contig1_All	76.43825058	4.447693345
CL2860.Contig1_All	35.83335157	0.840629088
CL421.Contig3_All	8.276155025	119.1391496
Unigene3445_All	37.26852661	1.148924468
CL1653.Contig1_All	30.39690979	0.0962934
Unigene17197_All	30.54579225	0.231375508
CL11568.Contig3_All	30.07283849	0.119942748
CL2143.Contig2_All	87.34949584	5.500417353
Unigene7877_All	68.40010916	4.241532731
CL8813.Contig1_All	29.54569095	0.370865565
CL12530.Contig1_All	32.35533845	0.912033949
Unigene7341_All	0.423713235	29.55938205
Unigene2983_All	28.87428448	0.300125801
Unigene2456_All	122.2879464	8.753180219
Unigene2458_All	154.1571729	11.52881244
CL8813.Contig2_All	27.91804272	0.200239266
CL1479.Contig8_All	164.9814862	12.91099852
CL3850.Contig3_All	107.7660795	7.704567331
Unigene11507_All	34.53038522	1.409536043
CL1497.Contig5_All	34.90120336	1.492472938
CL12784.Contig2_All	34.69374527	1.493073951
CL7288.Contig1_All	25.60912253	0.171753305
CL9938.Contig2_All	55.11020303	3.840616295
Unigene299_All	14.90389775	182.9821142
CL1653.Contig4_All	28.83400484	1.122030876
CL1653.Contig3_All	28.6602604	1.122934304
Unigene2630_All	209.082284	18.08871405
CL7018.Contig2_All	30.12625254	1.417078384
CL2244.Contig3_All	133.3064394	11.37131617
CL7147.Contig5_All	26.32541588	0.929687321
Unigene20328_All	22.59825951	0.229489482
CL2062.Contig1_All	33.24361505	1.86816908
CL7018.Contig3_All	28.2906882	1.26269358
CL12235.Contig4_All	23.43588389	0.480125417
Unigene13716_All	66.01430419	5.225052021
CL1653.Contig6_All	22.88732821	0.331586694
CL4971.Contig1_All	27.79471989	1.245206034
CL5686.Contig3_All	214.2936502	19.94079742
Unigene14697_All	24.36124128	0.751896084
CL155.Contig1_All	54.41488529	4.048959617
Unigene2751_All	2.147459971	34.30590699
CL11972.Contig2_All	38.73808872	2.468417311
CL5920.Contig1_All	22.62311444	0.56259132
CL421.Contig4_All	4.338073623	55.21638182
CL5934.Contig5_All	30.03693711	1.692801184
CL6285.Contig1_All	20.27210263	0.049396957
CL11444.Contig2_All	20.872192	0.362927612
CL7018.Contig4_All	24.5278377	0.996993875
CL6151.Contig3_All	19.67178955	0.062316623
CL4324.Contig3_All	97.735867	9.082637804
CL11970.Contig1_All	19.56493502	0.257988889
CL1388.Contig1_All	68.272479	5.909248977
Unigene15560_All	18.92000316	0.246966987
CL7147.Contig4_All	24.65728606	1.240843556
CL4289.Contig3_All	31.70190114	2.156393133
CL3534.Contig2_All	59.26155779	5.080310678
Unigene16233_All	140.280819	13.67718362
CL4926.Contig1_All	17.96642011	0.15162002
CL1205.Contig1_All	19.20267642	0.526516609
CL1618.Contig1_All	64.95476941	5.934957
CL4648.Contig1_All	19.21102153	0.671296596
CL9081.Contig2_All	16.73031095	0.155194735
Unigene15978_All	16.57217476	0.087832091
CL6039.Contig3_All	16.36411318	0.033430596
CL12784.Contig3_All	16.43082412	0.07657672
CL6285.Contig3_All	16.3134495	0.04947226
Unigene6299_All	16.44506079	0.136995714
CL10609.Contig2_All	20.16692378	0.892220861
CL1653.Contig2_All	17.28435951	0.396605694
CL11444.Contig1_All	19.25861872	0.805912313
CL3080.Contig1_All	51.16341906	4.790867259
CL4324.Contig5_All	74.63070622	7.054342066
Unigene20236_All	16.21099036	0.311293272
CL7328.Contig1_All	105.276046	11.13683159
Unigene15052_All	40.94250943	3.600793405
CL984.Contig2_All	24.79450682	1.695367716
CL11054.Contig1_All	95.93439309	10.28403083
CL3794.Contig1_All	91.56857175	9.886034389
CL5234.Contig1_All	91.24101666	9.870403256
CL4971.Contig2_All	18.64822375	0.934065507
CL1653.Contig5_All	14.43616102	0.054152205
CL7362.Contig2_All	14.47781634	0.131879909
Unigene4601_All	32.31660387	2.73330733
CL12633.Contig1_All	17.75167645	0.861745362
CL7829.Contig3_All	14.53199673	0.224211476
CL3794.Contig2_All	82.40778205	9.252874862
Unigene4178_All	16.60003643	0.733235807
Unigene416_All	18.24445917	0.967300501
CL1865.Contig2_All	33.19273892	2.91694454
Unigene1121_All	15.36074031	0.525853427
CL7147.Contig3_All	23.73442777	1.689316772
CL155.Contig2_All	32.27696139	2.813415527
CL12310.Contig2_All	13.97236031	0.166608285
Unigene17149_All	13.87543457	0.131231478
Unigene7495_All	15.16931002	0.53236844
CL3534.Contig1_All	56.31454446	6.047273416
CL1497.Contig4_All	53.94361407	5.684375096
Unigene16111_All	14.89178151	0.515457642
CL12784.Contig1_All	15.07536126	0.558779916
CL10883.Contig2_All	13.360269	0.103723446
CL5349.Contig1_All	42.39657277	4.234601687
Unigene973_All	15.62240302	0.730124221
Unigene1154_All	13.25037126	0.2220687
CL1395.Contig2_All	36.65315336	3.549214961
CL7057.Contig1_All	132.7133163	1033.515996
CL7018.Contig1_All	48.77996868	5.409939358
CL5234.Contig2_All	94.85752932	10.88128026
CL2039.Contig2_All	28.52047899	2.643709709
CL7178.Contig1_All	13.30674686	0.351253046
CL10080.Contig1_All	12.55693139	0.049372767
CL10161.Contig1_All	25.25380818	2.142492734
CL9308.Contig1_All	28.06866745	2.609371903
CL326.Contig3_All	13.69048305	0.475486152
CL4971.Contig4_All	15.0056271	0.726455088
CL984.Contig1_All	19.65903444	1.406772035
CL7320.Contig1_All	12.35257332	0.138281102
CL7057.Contig2_All	254.9788311	1908.453524
CL284.Contig3_All	12.09598092	0.086023199
CL6324.Contig4_All	26.2906098	2.409059933
CL7829.Contig2_All	12.03817734	0.162363705
CL11972.Contig1_All	13.57794796	0.589236735
CL4419.Contig3_All	23.84662468	2.058374715
CL5686.Contig5_All	297.7665286	40.81549469
CL11054.Contig2_All	80.76670852	9.918208969
CL10408.Contig1_All	106.373386	13.64918427
Unigene14520_All	39.78727886	4.482720098
Unigene2457_All	16.60143572	1.082731705
CL4920.Contig3_All	11.90239332	0.19083873
CL7320.Contig2_All	11.92053827	0.228097714
Unigene3992_All	14.36101407	0.7471363
Unigene109_All	12.37531544	0.378193686
CL2368.Contig2_All	14.93957667	0.859901507
Unigene14514_All	32.86767961	3.517978226
CL284.Contig1_All	11.43219868	0.176616556
CL9158.Contig1_All	51.10257683	6.225996686
Unigene3164_All	31.40413511	3.463899861
CL2472.Contig1_All	5.927004042	49.21347625
Unigene14509_All	33.16720526	3.732350157
Unigene4210_All	12.64179235	0.549593202
CL3080.Contig3_All	13.55210881	0.71586361
CL11403.Contig3_All	11.57827766	0.31808475
CL888.Contig2_All	11.88416866	0.416192081
CL4918.Contig1_All	53.98430306	6.763011474
Unigene20086_All	11.08244768	0.159732825
CL11358.Contig2_All	25.99726299	2.544185455
CL4442.Contig9_All	88.95273898	12.1349518
Unigene4141_All	11.8059489	0.440690799
Unigene6556_All	99.37432543	13.95372756
Unigene7875_All	79.49689983	10.60153074
CL12310.Contig3_All	10.58902027	0.057796247
CL7147.Contig6_All	14.83410232	0.989484334
CL11970.Contig2_All	11.08860089	0.311993817
Unigene15885_All	62.76982891	8.166666529
CL10801.Contig1_All	11.8813217	0.529937534
CL8785.Contig1_All	11.79387058	0.519779955
CL11403.Contig4_All	10.57530852	0.242720731
CL4289.Contig1_All	19.11854028	1.717282974
Unigene5167_All	10.06536162	0.093524295
CL1395.Contig4_All	34.20785484	4.063583943
Unigene4600_All	24.17590527	2.506792124
Unigene14523_All	24.81114899	2.730416285
Unigene3217_All	10.00738322	0.14144418
Unigene951_All	10.31606029	0.270483319
CL2571.Contig2_All	14.32235848	1.035740459
Unigene15117_All	136.2622941	19.45312236
CL9874.Contig2_All	14.81651758	1.142700039
CL639.Contig6_All	9.691951397	0.057938647
CL12807.Contig1_All	7.404941232	52.79173345
CL11931.Contig2_All	3.391944695	29.77138264
CL2642.Contig5_All	20.86199351	2.101907034
CL12310.Contig1_All	9.677205325	0.143008661
CL6472.Contig4_All	20.45578581	2.06591532
Unigene14905_All	30.95570967	206.5708634
CL7057.Contig3_All	79.72167909	500.235053
Unigene9256_All	16.96630052	1.542667901
CL4534.Contig1_All	23.49226535	2.62721557
CL2083.Contig3_All	15.71229105	1.295946598
CL11358.Contig3_All	28.50358013	3.260876611
CL1479.Contig5_All	95.54301006	13.87823893
CL326.Contig1_All	10.10463039	0.359983284
Unigene296_All	5.286513609	40.16219583
CL9772.Contig1_All	10.87552437	0.555812738
CL12530.Contig2_All	9.469506071	0.182060094
CL2674.Contig1_All	16.41605581	1.497846026
Unigene15199_All	13.23161746	0.962397221
CL11403.Contig2_All	9.774611052	0.302841871
Unigene5450_All	20.68736848	2.203422377
CL5367.Contig2_All	9.42341049	0.213341179
CL10883.Contig1_All	9.126036878	0.089378714
CL2345.Contig4_All	9.910386974	0.364810766
CL9081.Contig1_All	9.059328991	0.048639574
CL5037.Contig3_All	11.90741068	0.753627876
CL1865.Contig1_All	20.05952295	2.067794718
CL5686.Contig4_All	126.4511532	19.58300812
CL10244.Contig2_All	808.7483799	131.5372808
CL10244.Contig1_All	642.597872	104.2909068
Unigene13261_All	30.38631091	3.82794204
CL8912.Contig1_All	18.07392464	1.809942577
Unigene16678_All	25.48949856	2.976952988
Unigene6813_All	14.12468162	1.145286128
Unigene5502_All	8.804565437	0.107948473
Unigene5044_All	56.48648686	8.055129596
CL2656.Contig5_All	9.588559189	0.360470099
CL9600.Contig1_All	24.73935811	2.929742983
CL639.Contig1_All	8.821885996	0.125979799
CL4323.Contig1_All	57.52088794	8.460016837
CL5729.Contig2_All	10.80517809	0.65809438
CL5686.Contig1_All	86.97317305	13.66641339
CL4442.Contig4_All	32.35330853	4.327768112
CL4294.Contig2_All	139.1346402	22.69131531
CL4442.Contig3_All	23.73537325	2.812762752
CL3857.Contig3_All	14.67934123	1.35312531
CL6151.Contig1_All	8.616145999	0.144241495
CL7159.Contig5_All	47.55117006	6.866532131
CL12235.Contig2_All	8.817918567	0.274595215
CL7328.Contig2_All	63.28358255	9.84117615
CL12654.Contig1_All	91.04689851	14.68343707
CL10070.Contig1_All	21.43998029	2.439646923
CL11260.Contig2_All	170.0438792	28.29817874
CL7320.Contig3_All	8.555360181	0.228230527
CL11992.Contig2_All	25.25654602	3.254681386
Unigene23654_All	8.248425518	0.11579248
CL11888.Contig2_All	20.5461998	2.408758691
CL284.Contig2_All	8.467775722	0.254860235
Unigene13537_All	17.03883451	1.920765277
CL2964.Contig1_All	46.45948877	6.899766927
Unigene5789_All	8.048986173	0.087842681
Unigene10028_All	19.76088954	2.248040943
CL3857.Contig1_All	26.10430041	3.507146911
Unigene8679_All	8.078407039	0.152803775
